InstitutionCode	count(*)
ABS	11700
AM	315
AMDC	120
AMNH	393764
AMNHTC	184
ANIC	118
ANSP	8912
ASCU	2
ASU	73620
BDGC	123
BDUC	19
BLM	192
BMNH	73
BPBM	22988
BRFC	250
BYU	88891
CAES	10764
CAS	250747
CLEV	9029
CMNH	14519
CNC	30919
CSCA	44485
CSU	93150
CSUC	15733
CU	5
CUAC	204
CUIC	58173
CUMNH	179
DAR	170
DART	255
DBG	568
DEBU	233
DEI	3
DMNS	120069
DUGWAY	949
EMEC	144737
ESUW	19
EVG	1
FMIC	69
FMNH	126353
FSCA	13307
GPSC	577
GSC	1748
GWMP	1922
HNHM	25
HZIC	598
IBUNAM	561
IEXA	16
IMLA	2
INHS	519634
ISNB	28
ISUI	252
JECC	2
JML	164
JSA	147
JSAOBS	48
JTP	7908
KAVE	1
KBIN	9
KNWR	44
KU	554663
LACM	20272
LBOB	711
LSU	153
MACN	25
MAJC	2054
MCZ	214337
MEMU	56315
MMWVU	744
MNHN	13
MNRJ	6
MPM	4
MSU	64379
MUSM	1
MVY	150
MZH	76
MZSP	3
NAUF	58900
NCSU	116013
NDBC	65
NEMU	468
NHMW	7
NHRS	15
NMLS	1
NMSU	78917
NSBC	53
NYBG	99
NYSM	5367
ODA	168
OMC	111
OMNH	101212
OSAC	132038
OSEC	139
OSU	254680
OSUC	7
PDA	1518
PGC	24
PU	2189
PURC	16
QDPI	1
RBCM	5
RMBL	1845
RMNH	35
RUAC	6064
SBMNH	111244
SCC	12
SDNH	587
SDNHM	348
SDSU	4240
SEMUBCCOL	189
SFVS	18
SIIS	27395
SLIC	11
SNHM	151
SWRS	520
TAMU	496520
TTRSNHM	1372
TTU	138861
UA	84685
UAlig	1
UAM	556062
UASM	10
UAZ	224
UBC	107
UCB	43120
UCBME	4133
UCD	25393
UCM	80503
UCMS	21573
UCR	75222
UCRC	73
UCSC	137
UD	1359
UDAF	424
UDCC	31028
UFMG	3
UGCA	3706
UHIM	119233
UIC	220
UK	35892
UKY-HIC	4010
UMA	1141
UMAM	6600
UMMC	193
UMNH	34856
UMRM	174
UMSP	467
UNHP	5040
UNL	12533
UNM	37298
URI	78
URIC	13
USDA	20
USNM	14264
USU	412
UTC	13490
VPI	3595
VTST	245
WAMP	1
WFBM	3539
WICH	384
WIRC	1116
WLNP	1
WPU	113
WSU	214
WWU	655
YPM	172891
ZISP	1021
ZMAN	74
ZMUC	1
ZSM	53
