year	count(occid)
NULL	1206877
0	228
1	76
7	1
52	1
65	1
191	1
197	1
199	2
200	1
201	2
213	2
331	1
620	1
954	1
983	2
992	1
999	1
1000	1
1001	1
1005	1
1006	4
1009	1
1011	25
1015	2
1019	1
1020	3
1024	1
1031	4
1036	1
1038	2
1039	1
1041	1
1053	3
1061	1
1062	2
1063	1
1064	1
1065	1
1067	1
1068	1
1071	1
1072	1
1073	1
1076	2
1078	1
1084	1
1093	1
1095	1
1097	2
1111	46
1190	1
1191	1
1195	1
1200	1
1290	1
1319	3
1334	2
1516	13
1521	1
1530	4
1606	26
1617	7
1620	1
1624	2
1626	1
1631	8
1634	1
1645	1
1656	2
1669	1
1671	1
1692	1
1695	1
1697	1
1698	1
1700	28516
1701	4
1706	2
1718	5
1719	1
1750	79
1760	1
1763	1
1770	13
1785	1
1787	1
1790	2
1792	1
1794	1
1796	2
1799	13
1800	25
1801	3
1805	1
1806	1
1807	3
1808	1
1809	2
1810	1
1814	1
1815	1
1816	1
1817	1
1818	2
1819	17
1820	1
1822	4
1823	6
1824	5
1825	2
1826	2
1827	1
1828	1
1829	2
1830	1
1831	5
1832	8
1833	2
1834	1
1835	3
1836	5
1838	6
1839	4
1840	1
1841	4
1842	3
1843	5
1844	3
1845	1
1846	1
1847	59
1848	38
1849	15
1850	223
1851	13
1852	48
1853	156
1854	63
1855	19
1856	41
1857	26
1858	55
1859	288
1860	309
1861	69
1862	104
1863	90
1864	197
1865	110
1866	56
1867	57
1868	66
1869	109
1870	128
1871	233
1872	272
1873	263
1874	253
1875	151
1876	160
1877	554
1878	424
1879	476
1880	559
1881	259
1882	884
1883	1123
1884	662
1885	1390
1886	1578
1887	1938
1888	1564
1889	1142
1890	2025
1891	4212
1892	3430
1893	2805
1894	4375
1895	4562
1896	4089
1897	4775
1898	4719
1899	4287
1900	4827
1901	7281
1902	6868
1903	6003
1904	4117
1905	4040
1906	3812
1907	4414
1908	4617
1909	4985
1910	4840
1911	6306
1912	5821
1913	5464
1914	7730
1915	7674
1916	10783
1917	14179
1918	9369
1919	15453
1920	18366
1921	21942
1922	20234
1923	18458
1924	17445
1925	19135
1926	17049
1927	27111
1928	24119
1929	27762
1930	34690
1931	36506
1932	34911
1933	31913
1934	33830
1935	36370
1936	39042
1937	49721
1938	51926
1939	41189
1940	40267
1941	35009
1942	20489
1943	14198
1944	15862
1945	18928
1946	25910
1947	35082
1948	38740
1949	48824
1950	49783
1951	38079
1952	63900
1953	51796
1954	49675
1955	49075
1956	51572
1957	45111
1958	59873
1959	63911
1960	58898
1961	63405
1962	70264
1963	65646
1964	89099
1965	93482
1966	99266
1967	77076
1968	80115
1969	78071
1970	94216
1971	86673
1972	75244
1973	77106
1974	80866
1975	79333
1976	84276
1977	78193
1978	84851
1979	100288
1980	83879
1981	81375
1982	80273
1983	82353
1984	60960
1985	69495
1986	66426
1987	69386
1988	55916
1989	69977
1990	51052
1991	76358
1992	61335
1993	71548
1994	63700
1995	87813
1996	72109
1997	82441
1998	73013
1999	80875
2000	76412
2001	81864
2002	103951
2003	139082
2004	120131
2005	174582
2006	216683
2007	129119
2008	384844
2009	178820
2010	221480
2011	208456
2012	183657
2013	112423
2014	65794
2015	41661
2016	8505
2017	8258
2018	4500
2019	8759
2021	22
2022	7
2023	10
2024	12
2025	7
2026	9
2027	68
2028	24
2029	35
2030	1
2031	8
2033	1
2036	1
2037	1
2064	15
2076	1
2083	1
2089	1
2092	1
2093	1
2094	1
2099	8
2100	1
2195	1
2204	7
2209	4
2222	1
2511	1
2526	2
2527	1
2530	3
2627	5
2630	1
2728	28
2730	4
2741	1
2829	12
2919	2
2930	15
2965	1
2967	1
2972	2
2983	1
2985	1
2986	1
2993	1
2996	1
2999	2121
3003	1
3010	1
3011	1
3786	1
7455	1
9152	1
